workerId,chart,data_size,true_percentage,error,responseTime
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,8,3,5205
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,92,3,5083
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,53,2,9154
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,23,3,2969
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,17,2,5766
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,77,3,9752
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,77,3,5644
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,17,8,4281
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,17,2,6579
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,83,7,5526
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,47,2,3193
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,83,3,4575
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,53,2,4191
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,77,2,8388
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,47,8,4824
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,23,3,8690
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,8,7,4998
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,92,3,4931
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,53,12,4571
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,62,13,3952
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,17,2,3105
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,8,3,4187
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,8,2,3194
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,23,3,4080
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,92,2,4493
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,62,18,5380
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,38,3,6241
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,38,7,4352
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,53,2,3233
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,38,8,3388
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,83,2,5168
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,92,2,11122
91a49affb496ee02dab27427443d3a2824d0b80c,PB,300,23,8,6311
91a49affb496ee02dab27427443d3a2824d0b80c,PB,75,62,8,3943
91a49affb496ee02dab27427443d3a2824d0b80c,PB,150,47,2,4742
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,23,3,8466
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,38,8,5447
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,53,13,5111
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,92,12,3870
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,23,8,4889
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,62,23,4219
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,38,7,2776
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,53,3,4512
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,8,3,4856
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,47,33,2800
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,83,28,6625
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,8,3,6834
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,83,7,5540
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,47,38,3554
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,77,32,4576
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,47,22,5273
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,17,12,3650
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,8,2,4332
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,53,23,3456
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,62,13,2735
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,17,2,5818
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,17,7,3169
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,62,3,2714
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,77,27,5961
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,92,2,2907
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,75,77,17,3008
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,83,23,6002
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,92,12,3180
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,300,38,17,3673
1a4040a3bf66e7e88a0c7e2b5b1bcc8df379a08e,TM,150,23,8,2557
c439beb15320f9219723342817158e7ec7f617b6,WB,150,62,2,10609
c439beb15320f9219723342817158e7ec7f617b6,WB,75,17,13,9157
c439beb15320f9219723342817158e7ec7f617b6,WB,150,53,13,7935
c439beb15320f9219723342817158e7ec7f617b6,WB,75,47,3,6286
c439beb15320f9219723342817158e7ec7f617b6,WB,75,38,3,7214
c439beb15320f9219723342817158e7ec7f617b6,WB,75,83,3,5710
c439beb15320f9219723342817158e7ec7f617b6,WB,150,83,13,6699
c439beb15320f9219723342817158e7ec7f617b6,WB,75,53,2,3950
