workerId,chart,data_size,outcome,outcome_true,responseTime
c591f994c50e53df26dad574d7372b907fa86734,WB,75,True,1,3093
c591f994c50e53df26dad574d7372b907fa86734,WB,75,True,1,3033
c591f994c50e53df26dad574d7372b907fa86734,WB,75,False,0,3037
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,7015
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,8340
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,3566
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,2748
c591f994c50e53df26dad574d7372b907fa86734,WB,75,True,1,6268
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,2883
c591f994c50e53df26dad574d7372b907fa86734,WB,75,True,1,2759
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,2994
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,2889
c591f994c50e53df26dad574d7372b907fa86734,WB,75,False,0,3330
c591f994c50e53df26dad574d7372b907fa86734,WB,150,False,0,3921
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,3058
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,2449
c591f994c50e53df26dad574d7372b907fa86734,WB,150,False,0,2615
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,1670
c591f994c50e53df26dad574d7372b907fa86734,WB,300,True,1,2989
c591f994c50e53df26dad574d7372b907fa86734,WB,75,False,0,3230
c591f994c50e53df26dad574d7372b907fa86734,WB,75,True,1,2598
c591f994c50e53df26dad574d7372b907fa86734,WB,75,False,0,2269
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,75,True,1,4316
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,150,True,1,3701
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,75,True,1,3254
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,75,False,0,1480
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,300,False,0,2616
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,75,True,1,3835
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,75,True,1,3265
43ff1572caec929be82f54132f5c7fa5fbc3c09b,WB,300,True,1,1833
