workerId,chart,data_size,true_rank,error,responseTime
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,140,8.666666666666666,4899
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,35,0,4852
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,20,4,2445
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,40,1.3333333333333333,4165
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,120,11.333333333333334,4684
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,180,7.333333333333333,5301
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,45,1.3333333333333333,3653
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,80,18.666666666666668,5550
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,30,2.6666666666666665,6522
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,40,3.6666666666666665,7308
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,110,3.3333333333333335,3466
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,260,5,5469
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,70,8.666666666666666,3907
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,60,4,3685
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,110,9.333333333333334,3632
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,90,1.3333333333333333,3430
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,30,3.3333333333333335,4339
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,70,2.6666666666666665,3465
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,40,16,3343
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,20,5.333333333333333,11219
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,240,33,8358
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,280,1.6666666666666667,3477
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,10,5.333333333333333,5996
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,140,2,2422
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,15,2.6666666666666665,4690
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,220,20.666666666666668,8180
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,40,5.333333333333333,9989
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,130,10,9303
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,30,2.6666666666666665,6180
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,220,11.666666666666666,5509
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,65,5.333333333333333,2738
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,120,27.333333333333332,3751
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,260,4,6976
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,110,12,5026
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,60,3,3560
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,70,8.666666666666666,12097
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,10,4,4206
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,100,4.666666666666667,4198
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,260,10,8394
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,30,3.3333333333333335,5526
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,55,26.666666666666668,5820
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,70,2.6666666666666665,4607
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,60,18.666666666666668,3632
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,20,10.666666666666666,6282
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,55,2.6666666666666665,5282
a7a400f64c54a91f1d25d709070edb15402bf456,TM,300,120,17,6905
a7a400f64c54a91f1d25d709070edb15402bf456,TM,75,30,12,11011
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,130,4,5388
a7a400f64c54a91f1d25d709070edb15402bf456,TM,150,90,13.333333333333334,6146
f1f0535fa4b0b407a8caed37532881b408a49012,WB,75,65,5.333333333333333,4542
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,40,20,15770
f1f0535fa4b0b407a8caed37532881b408a49012,WB,75,55,36,11528
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,60,3,13426
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,60,3,10402
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,120,7,10564
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,180,1.6666666666666667,17909
f1f0535fa4b0b407a8caed37532881b408a49012,WB,75,70,2.6666666666666665,5604
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,240,3.3333333333333335,5996
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,40,4,19910
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,20,5.333333333333333,10899
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,200,14,10807
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,100,14,4654
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,280,1.6666666666666667,5968
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,20,1.3333333333333333,11044
f1f0535fa4b0b407a8caed37532881b408a49012,WB,75,55,12,9044
f1f0535fa4b0b407a8caed37532881b408a49012,WB,300,260,4,7773
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,100,5.333333333333333,5715
f1f0535fa4b0b407a8caed37532881b408a49012,WB,150,120,3.3333333333333335,4515
f1f0535fa4b0b407a8caed37532881b408a49012,WB,75,40,1.3333333333333333,8524
