distance,task,workerId,isCorrect,chart,time,dataSize
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.293,75
0.11,MEAN,A2MKXI4KCRRI7Y,0,ZP,3.471,75
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,4.397,75
0.02,MEAN,A2MKXI4KCRRI7Y,1,ZP,4.495,75
0.1,MEAN,A2MKXI4KCRRI7Y,0,ZP,3.192,75
0.0,MEAN,A2MKXI4KCRRI7Y,1,ZP,2.399,75
0.08,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.1,75
0.09,MEAN,A2MKXI4KCRRI7Y,1,ZP,2.948,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.466,75
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,2.882,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.855,75
0.12,MEAN,A32XODQOC2CCDG,0,LL,3.554,75
0.03,MEAN,A32XODQOC2CCDG,1,LL,1.999,75
0.17,MEAN,A32XODQOC2CCDG,0,LL,1.625,75
0.1,MEAN,A32XODQOC2CCDG,0,LL,1.372,75
0.2,MEAN,A32XODQOC2CCDG,0,LL,2.944,75
0.13,MEAN,A32XODQOC2CCDG,0,LL,2.253,75
0.07,MEAN,A32XODQOC2CCDG,1,LL,4.126,75
0.02,MEAN,A32XODQOC2CCDG,1,LL,3.397,75
0.14,MEAN,A32XODQOC2CCDG,0,LL,4.636,75
0.1,MEAN,A32XODQOC2CCDG,0,LL,1.576,75
0.02,MEAN,A32XODQOC2CCDG,1,LL,1.877,75
0.42,MEAN,A32XODQOC2CCDG,0,LL,1.11,75
0.02,MEAN,A32XODQOC2CCDG,1,LL,1.533,75
0.11,MEAN,A32XODQOC2CCDG,0,LL,1.924,75
0.05,MEAN,A32XODQOC2CCDG,1,LL,3.506,75
0.19,MEAN,A32XODQOC2CCDG,0,LL,2.184,75
0.09,MEAN,A32XODQOC2CCDG,1,LL,1.752,75
0.17,MEAN,A32XODQOC2CCDG,0,LL,1.668,75
