workerId,chart,data_size,true_percentage,error,responseTime
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,53,2,9627
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,47,22,10101
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,8,3,11857
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,47,22,11695
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,92,2,19288
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,47,17,13100
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,53,13,14743
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,8,3,12121
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,23,8,30918
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,17,3,13508
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,83,2,10583
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,17,12,7788
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,62,7,8423
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,23,3,8736
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,92,3,7884
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,23,7,10670
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,53,28,6919
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,62,27,6822
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,77,13,7610
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,38,32,8935
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,83,2,8850
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,38,8,9883
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,17,3,8313
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,53,18,7723
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,62,22,8470
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,77,3,8741
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,77,3,7759
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,150,83,18,7483
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,75,92,7,8990
3b56f47f7f6651dc1880c51709d737f1bb99c034,TM,300,8,3,5934
